(n, m) = (10, 800)    | (i, j) = (1, 2) | D = 0.19249
(n, m) = (10, 800)    | (i, j) = (1, 3) | D = 0.20428
(n, m) = (10, 800)    | (i, j) = (1, 4) | D = 0.16892
(n, m) = (10, 800)    | (i, j) = (2, 0) | D = 0.16106
(n, m) = (10, 800)    | (i, j) = (2, 1) | D = 0.09821
(n, m) = (10, 800)    | (i, j) = (2, 2) | D = 0.12178
(n, m) = (10, 800)    | (i, j) = (2, 3) | D = 0.10999
(n, m) = (10, 800)    | (i, j) = (2, 4) | D = 0.14535
(n, m) = (10, 800)    | (i, j) = (3, 0) | D = 0.16106
(n, m) = (10, 800)    | (i, j) = (3, 1) | D = 0.09821
(n, m) = (10, 800)    | (i, j) = (3, 2) | D = 0.12178
(n, m) = (10, 800)    | (i, j) = (3, 3) | D = 0.10999
(n, m) = (10, 800)    | (i, j) = (3, 4) | D = 0.14535
(n, m) = (10, 800)    | (i, j) = (4, 0) | D = 0.15321
(n, m) = (10, 800)    | (i, j) = (4, 1) | D = 0.21606
(n, m) = (10, 800)    | (i, j) = (4, 2) | D = 0.19249
(n, m) = (10, 800)    | (i, j) = (4, 3) | D = 0.20428
(n, m) = (10, 800)    | (i, j) = (4, 4) | D = 0.16892
(n, m) = (10, 1000)   | (i, j) = (0, 0) | D = 0.15733
(n, m) = (10, 1000)   | (i, j) = (0, 1) | D = 0.2297
(n, m) = (10, 1000)   | (i, j) = (0, 2) | D = 0.17621
(n, m) = (10, 1000)   | (i, j) = (0, 3) | D = 0.18565
(n, m) = (10, 1000)   | (i, j) = (0, 4) | D = 0.22341
(n, m) = (10, 1000)   | (i, j) = (1, 0) | D = 0.15733
(n, m) = (10, 1000)   | (i, j) = (1, 1) | D = 0.2297
(n, m) = (10, 1000)   | (i, j) = (1, 2) | D = 0.17621
(n, m) = (10, 1000)   | (i, j) = (1, 3) | D = 0.18565
(n, m) = (10, 1000)   | (i, j) = (1, 4) | D = 0.22341
(n, m) = (10, 1000)   | (i, j) = (2, 0) | D = 0.15733
(n, m) = (10, 1000)   | (i, j) = (2, 1) | D = 0.08496
(n, m) = (10, 1000)   | (i, j) = (2, 2) | D = 0.13845
(n, m) = (10, 1000)   | (i, j) = (2, 3) | D = 0.12901
(n, m) = (10, 1000)   | (i, j) = (2, 4) | D = 0.09125
(n, m) = (10, 1000)   | (i, j) = (3, 0) | D = 0.15733
(n, m) = (10, 1000)   | (i, j) = (3, 1) | D = 0.08496
(n, m) = (10, 1000)   | (i, j) = (3, 2) | D = 0.13845
(n, m) = (10, 1000)   | (i, j) = (3, 3) | D = 0.12901
(n, m) = (10, 1000)   | (i, j) = (3, 4) | D = 0.09125
(n, m) = (10, 1000)   | (i, j) = (4, 0) | D = 0.15733
(n, m) = (10, 1000)   | (i, j) = (4, 1) | D = 0.2297
(n, m) = (10, 1000)   | (i, j) = (4, 2) | D = 0.17621
